,Table name,State,District,Area Name,Last residence,Last residence.1,Place of enumeration,Total migrants(Persons),Total migrants(Males),Total migrants(Females),Less than 1 year(Persons),Less than 1 year(Males),Less than 1 year(Females),1-4 years(Persons),1-4 years(Males),1-4 years(Females),5-9 years(Persons),5-9 years(Males),5-9 years(Females),10-19 years(Persons),10-19 years(Males),10-19 years(Females),20+ years(Persons),20+ years(Males),20+ years(Females),Duration not stated(Persons),Duration not stated(Males),Duration not stated(Females)
9028,D0302,29.0,572.0,Bangalore,Last residence within India,Urban,Rural,115229.0,57141.0,58088.0,14979.0,8415.0,6564.0,41666.0,22640.0,19026.0,22213.0,10969.0,11244.0,14122.0,6136.0,7986.0,11028.0,3523.0,7505.0,11221.0,5458.0,5763.0
9037,D0302,29.0,572.0,Bangalore,Within the state of enumeration but outside the place of enumeration,Urban,Rural,89278.0,41767.0,47511.0,10919.0,5852.0,5067.0,30324.0,15475.0,14849.0,17620.0,8378.0,9242.0,11627.0,4819.0,6808.0,9538.0,2806.0,6732.0,9250.0,4437.0,4813.0
9046,D0302,29.0,572.0,Bangalore,Elsewhere in the district of enumeration,Urban,Rural,58110.0,26163.0,31947.0,7046.0,3642.0,3404.0,18907.0,9432.0,9475.0,11247.0,5199.0,6048.0,7783.0,3007.0,4776.0,6870.0,1880.0,4990.0,6257.0,3003.0,3254.0
9055,D0302,29.0,572.0,Bangalore,In other districts of the state of enumeration,Urban,Rural,31168.0,15604.0,15564.0,3873.0,2210.0,1663.0,11417.0,6043.0,5374.0,6373.0,3179.0,3194.0,3844.0,1812.0,2032.0,2668.0,926.0,1742.0,2993.0,1434.0,1559.0
9064,D0302,29.0,572.0,Bangalore,States in India beyond the state of enumeration,Urban,Rural,25951.0,15374.0,10577.0,4060.0,2563.0,1497.0,11342.0,7165.0,4177.0,4593.0,2591.0,2002.0,2495.0,1317.0,1178.0,1490.0,717.0,773.0,1971.0,1021.0,950.0
9073,D0302,29.0,572.0,Bangalore,Jammu & Kashmir,Urban,Rural,92.0,66.0,26.0,22.0,20.0,2.0,41.0,28.0,13.0,11.0,7.0,4.0,6.0,4.0,2.0,0.0,0.0,0.0,12.0,7.0,5.0
9082,D0302,29.0,572.0,Bangalore,Himachal Pradesh,Urban,Rural,40.0,29.0,11.0,6.0,6.0,0.0,28.0,18.0,10.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
9091,D0302,29.0,572.0,Bangalore,Punjab,Urban,Rural,83.0,53.0,30.0,12.0,10.0,2.0,47.0,29.0,18.0,10.0,5.0,5.0,8.0,5.0,3.0,1.0,1.0,0.0,5.0,3.0,2.0
9100,D0302,29.0,572.0,Bangalore,Chandigarh,Urban,Rural,18.0,9.0,9.0,3.0,3.0,0.0,10.0,4.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0
9109,D0302,29.0,572.0,Bangalore,Uttarakhand,Urban,Rural,71.0,46.0,25.0,10.0,6.0,4.0,30.0,21.0,9.0,19.0,12.0,7.0,5.0,3.0,2.0,1.0,1.0,0.0,6.0,3.0,3.0
9118,D0302,29.0,572.0,Bangalore,Haryana,Urban,Rural,126.0,77.0,49.0,26.0,19.0,7.0,61.0,36.0,25.0,13.0,8.0,5.0,14.0,7.0,7.0,1.0,0.0,1.0,11.0,7.0,4.0
9127,D0302,29.0,572.0,Bangalore,NCT of Delhi,Urban,Rural,374.0,212.0,162.0,78.0,48.0,30.0,183.0,102.0,81.0,64.0,32.0,32.0,31.0,20.0,11.0,4.0,4.0,0.0,14.0,6.0,8.0
9136,D0302,29.0,572.0,Bangalore,Rajasthan,Urban,Rural,706.0,455.0,251.0,103.0,69.0,34.0,366.0,245.0,121.0,133.0,82.0,51.0,38.0,23.0,15.0,9.0,6.0,3.0,57.0,30.0,27.0
9145,D0302,29.0,572.0,Bangalore,Uttar Pradesh,Urban,Rural,1197.0,856.0,341.0,193.0,147.0,46.0,633.0,475.0,158.0,171.0,114.0,57.0,85.0,60.0,25.0,20.0,13.0,7.0,95.0,47.0,48.0
9154,D0302,29.0,572.0,Bangalore,Bihar,Urban,Rural,1726.0,1276.0,450.0,294.0,240.0,54.0,882.0,676.0,206.0,238.0,167.0,71.0,115.0,72.0,43.0,57.0,38.0,19.0,140.0,83.0,57.0
9163,D0302,29.0,572.0,Bangalore,Sikkim,Urban,Rural,10.0,8.0,2.0,1.0,0.0,1.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9172,D0302,29.0,572.0,Bangalore,Arunachal Pradesh,Urban,Rural,10.0,8.0,2.0,0.0,0.0,0.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9181,D0302,29.0,572.0,Bangalore,Nagaland,Urban,Rural,25.0,11.0,14.0,3.0,2.0,1.0,15.0,6.0,9.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9190,D0302,29.0,572.0,Bangalore,Manipur,Urban,Rural,71.0,56.0,15.0,23.0,18.0,5.0,43.0,34.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
9199,D0302,29.0,572.0,Bangalore,Mizoram,Urban,Rural,14.0,3.0,11.0,6.0,0.0,6.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9208,D0302,29.0,572.0,Bangalore,Tripura,Urban,Rural,65.0,58.0,7.0,12.0,10.0,2.0,42.0,38.0,4.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
9217,D0302,29.0,572.0,Bangalore,Meghalaya,Urban,Rural,19.0,12.0,7.0,6.0,3.0,3.0,10.0,7.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9226,D0302,29.0,572.0,Bangalore,Assam,Urban,Rural,657.0,543.0,114.0,140.0,117.0,23.0,410.0,339.0,71.0,65.0,49.0,16.0,4.0,4.0,0.0,7.0,6.0,1.0,31.0,28.0,3.0
9235,D0302,29.0,572.0,Bangalore,West Bengal,Urban,Rural,1582.0,1078.0,504.0,342.0,247.0,95.0,795.0,551.0,244.0,254.0,172.0,82.0,83.0,50.0,33.0,23.0,16.0,7.0,85.0,42.0,43.0
9244,D0302,29.0,572.0,Bangalore,Jharkhand,Urban,Rural,386.0,299.0,87.0,58.0,48.0,10.0,281.0,223.0,58.0,30.0,17.0,13.0,5.0,4.0,1.0,0.0,0.0,0.0,12.0,7.0,5.0
9253,D0302,29.0,572.0,Bangalore,Odisha,Urban,Rural,1386.0,1082.0,304.0,263.0,192.0,71.0,750.0,618.0,132.0,206.0,154.0,52.0,63.0,47.0,16.0,18.0,12.0,6.0,86.0,59.0,27.0
9262,D0302,29.0,572.0,Bangalore,Chhattisgarh,Urban,Rural,88.0,61.0,27.0,19.0,11.0,8.0,60.0,44.0,16.0,7.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
9271,D0302,29.0,572.0,Bangalore,Madhya Pradesh,Urban,Rural,278.0,194.0,84.0,31.0,24.0,7.0,183.0,133.0,50.0,31.0,16.0,15.0,19.0,12.0,7.0,0.0,0.0,0.0,14.0,9.0,5.0
9280,D0302,29.0,572.0,Bangalore,Gujarat,Urban,Rural,257.0,150.0,107.0,23.0,15.0,8.0,132.0,81.0,51.0,43.0,27.0,16.0,23.0,14.0,9.0,12.0,3.0,9.0,24.0,10.0,14.0
9289,D0302,29.0,572.0,Bangalore,Daman & Diu,Urban,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9298,D0302,29.0,572.0,Bangalore,Dadra & Nagar Haveli,Urban,Rural,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9307,D0302,29.0,572.0,Bangalore,Maharashtra,Urban,Rural,944.0,524.0,420.0,209.0,107.0,102.0,402.0,237.0,165.0,156.0,80.0,76.0,74.0,40.0,34.0,30.0,15.0,15.0,73.0,45.0,28.0
9316,D0302,29.0,572.0,Bangalore,Andhra Pradesh,Urban,Rural,5392.0,2964.0,2428.0,893.0,513.0,380.0,2148.0,1204.0,944.0,1033.0,564.0,469.0,648.0,339.0,309.0,275.0,144.0,131.0,395.0,200.0,195.0
9325,D0302,29.0,572.0,Bangalore,Karnataka,Urban,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9334,D0302,29.0,572.0,Bangalore,Goa,Urban,Rural,52.0,34.0,18.0,1.0,1.0,0.0,35.0,24.0,11.0,11.0,7.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
9343,D0302,29.0,572.0,Bangalore,Lakshadweep,Urban,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9352,D0302,29.0,572.0,Bangalore,Kerala,Urban,Rural,2368.0,1211.0,1157.0,337.0,155.0,182.0,1128.0,585.0,543.0,405.0,221.0,184.0,179.0,93.0,86.0,123.0,57.0,66.0,196.0,100.0,96.0
9361,D0302,29.0,572.0,Bangalore,Tamil Nadu,Urban,Rural,7874.0,3977.0,3897.0,941.0,529.0,412.0,2587.0,1379.0,1208.0,1653.0,827.0,826.0,1087.0,518.0,569.0,905.0,399.0,506.0,701.0,325.0,376.0
9370,D0302,29.0,572.0,Bangalore,Puducherry,Urban,Rural,29.0,15.0,14.0,4.0,2.0,2.0,13.0,9.0,4.0,8.0,3.0,5.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
9379,D0302,29.0,572.0,Bangalore,Andaman & Nicobar Islands,Urban,Rural,9.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
